Title,Price,RoomType,Area,AvgPrice,HouseAge
祥宇上品 高楼层视野无遮挡 南北通透 拎包入住,69.8,4室3厅,124,5630,2018年
富丽国际电梯两室精装修短住带物110平一中拎包入住,55.8,2室2厅,110,5073,2015年
二院对面 电梯12层 全南精装两室 73平 28.5万小议,28.5,2室1厅,73,3905,2012年
农行开发小初高一站式 小三室格局60平 南北屋北厅 独立厨房,21.8,3室1厅,60,3634,2010年
双实！验 银通国际花园 143平 三室两卫 临近矿总院,37.5,2室2厅,143,2623,2010年
婚装没住几天 没啥税 恒业七期 2室2厅 100平 可议,48,2室2厅,100,4800,2010年
电梯小高！带车库有房本！79.6 ！顺吉德尔！两室等宽精装修,64,2室2厅,94,6809,2022年
一楼带院可遇不可求的房子90多平院子看房来看48万8可议,48.8,2室2厅,130,3754,2000年
花园小区 位置好 步梯4楼 70平  两室两厅 随时看房,21.5,2室2厅,70,3072,2000年
龙畔家园一层带院带地下室房本不满二房主包税,28.5,2室1厅,58,4914,2014年
这房子太便宜了 南北等宽通厅 视野采光嘎嘎好 喜欢的快来看房,60,2室2厅,104,5770,2010年
祥宇一品 大两房 精装可拎包入住 高楼层视野无遮挡 交通便利,41.8,2室2厅,94,4447,2014年
阜新县中街位置房主诚心出售可以一元购房随时看房拼手速,29.8,2室2厅,84,3548,2008年
新出房源！紧邻万达！银通铂翠园一期电梯102平精装带物！满五,65.5,2室2厅,102,6422,2017年
  国际 电梯房 个人精装带物 拎包即住 86平 35万小议,35,2室2厅,86,4070,2014年
碧桂园海州府 电梯四层 90平 两室通厅 精装带物拎包入住。,55,2室2厅,90,6112,2017年
2.5万先拿买正阳馨居多层72平精装带家电,26.5,2室1厅,72.11,3675,2016年
个人婚房 啥都带 正阳馨居 电梯5层74平36万可议能贷款,36,2室2厅,74,4865,2010年
特别合适 祥宇上品 三室格局 精装修 带物 电梯7楼 有车位,80,3室2厅,130,6154,2019年
想买一层带院的看这里 金羽小区 80平一层带院 38万可贷款,38,2室2厅,80,4750,2013年
祥宇上品电梯2层122平 简装带地下室74万可议,74,2室2厅,122,6066,2013年
  华府2期81平两室两厅一卫采光好南北通透赠露台34.6万,34.6,2室2厅,80.95,4275,2023年
  城华府三室一卫，115平，6.9 宽境阳台，毛坯,48.6,3室2厅,115,4227,2015年
3开头住康桥水郡3室步梯房精装短住采光视线好,36.5,3室1厅,91,4011,2017年
祥宇一品 步梯 6层带阁楼 急售 通厅 一中,31.8,3室3厅,94,3383,2008年
看过来，中华路十一中，精装修未入住，支持贷款，随时能看。,28.8,2室1厅,73,3946,2002年
龙泽雅苑电梯11层110平两室通厅精装未住带家具家电房本满五,55.8,2室2厅,110,5073,2016年
大唐荣成！前排小高层三层带花园精装109平随时看房,66.8,2室2厅,111.83,5974,2015年
盛邦茗雅园 电梯三层 三室两厅两卫 毛坯房随意装修 数据更名,38,3室2厅,147,2586,2015年
金月湾二期 2层 89平 南北等宽客厅 两室 有园区 采光好,27,2室2厅,89,3034,2005年
  嘉际 电梯六楼南北通厅 婚装短住房本满二 支持贷款无大税,47.5,2室2厅,106,4482,2015年
枫丹丽都 电梯独立入户婚装短住 南北通厅中间户房本满二诚心卖,46.8,2室2厅,95,4927,2018年
先拿一个入住 小高15层 87平 婚装 拎包入住 29万小议,29,2室1厅,87,3334,2013年
农行开发小区2室2厅1卫60.0平,21.8,2室2厅,60,3634,2010年
  急售！带地下室别挑肥拣瘦  钱  货，这个自己装修都合适,31.6,3室3厅,94,3362,2013年
新上 福源学苑 库上1层 98平 南北通厅 位置好48.5万,48.5,2室2厅,98,4949,2014年
抢！桃源小区 库上2层 61平 全阳 26万 2室 以租养贷,26,2室1厅,60.66,4287,2012年
前期拿1万 贴喜字当婚房 金地盛园 83平通厅31.8万可仪,31.8,2室2厅,83,3832,2010年
急售！可议！银通水岸花园电梯三室一卫毛坯118.66平,56.5,3室2厅,118.66,4762,2024年
步梯一层，山中街附近，两室两厅一卫，精装修未入住，带物,38.8,2室2厅,96,4042,2008年
辽工大北校区住宅96平两室通厅精装短住带物民族街一中价格低,37.5,2室2厅,96,3907,2012年
枫丹丽都 一楼带院带车位 品质园区绿化率高 房本满五诚心出售,56,2室2厅,101,5545,2015年
海罗翡翠蓝湾 个人装修 两室南北通厅 带家电家具 38万可议,38,2室2厅,100,3800,2014年
  福湾电梯适合老人住86平2室1厅全装31.5万,31,2室1厅,86,3605,2013年
森隆一期2楼93平南北通透家电家具齐全23万议拎包入住,23,2室2厅,93,2474,2015年
恒业七期 一层 等宽户型带车位，房主说了差一不二就出手。,60,2室2厅,125,4800,2013年
祥宇一品93平 三层南北通厅全小区就这一套43万可议随时看房,43,2室2厅,93,4624,2012年
个人精装好房，掏的不多。装修材料肉眼可见的好。拎包入住,37,2室2厅,100,3700,2008年
宏运华城！  小居室！纯市中心！电梯好楼层！整屋保持好！可议,28.8,1室1厅,60,4800,2014年
买婚房的来凯旋帝景婚房两室电梯洋房精装修带物可贷款随时看急售,35.8,2室2厅,94,3809,2016年
大唐荣城 电梯  排小高110平 两室通厅带衣帽间 精装未住,63.5,2室2厅,111,5721,2015年
龙泽雅苑电梯11层110平两室通厅精装未住带家具家电房本满五,55.8,2室2厅,110,5073,2016年
六！合！嘉际 电梯小户型   民族街一中  60平 随时看房,25,1室1厅,60,4167,2014年
大唐荣城一层89平 仅售38.5万随时看房精装修未入住,46.8,2室2厅,89,5259,2015年
北方花园新区，133平，4层，不边不道，三室，带物，可贷款,35.8,3室2厅,133,2692,2012年
东城天下 新上 有房本 通厅可贷款 有露台 民族街 带物！！,37.8,2室2厅,101,3743,2015年
银通水岸花园 一楼带院 精装修 一跃下 89可议不管税,89,3室3厅,150,5934,2023年
前期一个不拿 添点家电即可 精装三室103平 21.8万可议,21.8,3室2厅,103,2117,2017年
新上，恒业八期  三层 精装可拎包入住 满五 交通便利,45.5,2室2厅,102,4461,2014年
只要5开头铂翠园 等宽通厅格局 精装带物  视野采光嘎嘎好,55,2室2厅,103,5340,2019年
步梯二层带平台 精装带物 别看房主要价高 买房讲价找德彪,26.8,2室2厅,67,4000,2008年
东城天下 房本满五 电梯16楼 价格可议 支持贷款 南北通透,44.5,2室2厅,109,4083,2014年
四纬路小区，   ，三室格局，精装 46.8万,46.8,3室2厅,117.28,3991,2010年
个人精装好房，掏的不多。装修材料肉眼可见的好。拎包入住,37,2室2厅,100,3700,2008年
紧俏纯三层！还是三室两厅两卫通厅格局！户型嘎嘎好！不边不道,45,3室2厅,140,3215,2005年
银通华府，2室2厅1卫2阳台,65.8,2室2厅,111.41,5907,2020年
和美时代峯汇电梯7层精装95平通厅视野开阔48.8万可议,48.8,2室2厅,95,5137,2016年
宏运华城 一楼带院 130平精装不带物 82万支持贷款,82,3室2厅,130,6308,2012年
莱茵小镇 一中民族街 2层带露台 54平南北屋 精装可贷款,26.8,2室1厅,54,4963,2014年
恒业七期步梯5层97平精装空置带地下 商业配套成熟37万可议,37,2室2厅,97,3815,2012年
婚装短住 电梯洋房 南北等宽通厅  视野采光嘎嘎好抓紧看房吧,79.8,3室2厅,111,7190,2016年
锦苑雅居，电梯2楼，精装带物，价格可议,22,2室1厅,91.21,2413,2015年
实！验！银通国际花园 13层 168平三室 95万议,95,3室2厅,168,5655,2010年
银通翡翠出好房了！精装短住 保持的太好了.房主诚心卖,65,2室2厅,108,6019,2022年
银通公园里 婚装未住 59.8万支持贷款 满小区就一套可议速,59.8,2室2厅,110,5437,2022年
和美时代峯汇电梯21层精装修未入住，不收中介菲,46.5,2室1厅,92,5055,2015年
利民小区三层. 三室格局. 中华路十一中. 93平33 可议,33,3室1厅,93,3549,2008年
恒盛国际 电梯6层 精装 2室 132平  47.8万可议,47.8,2室2厅,132,3622,2016年
一楼带院！挑战市场底价！这个价格碧桂园一楼带院！还等啥呢！！,74.8,3室2厅,138,5421,2020年
祥宇一品 步梯 6层带阁楼 急售 通厅 一中,31.8,3室3厅,94,3383,2008年
西山银通国际花园140平三室两厅精装修，   ，六层顶采光好,48,3室2厅,139.79,3434,2010年
银通城市花园 三室两厅两卫 140平 走入社会前 不用换  ,56,3室2厅,140,4000,2015年
园中小区  一楼带300平院 精装未住 院里有果树 随时看房,30,2室2厅,90,3334,2006年
盛世公馆，又出一楼带院子了，过来看看吧,56,4室3厅,200,2800,2014年
阜华高层电梯2层69平两室精装26.5万，中华路十一中主校,26.5,2室1厅,69,3841,2005年
龙畔家园 两室精装带物 支持贷款无大税 中间户 价格可议,21,2室1厅,55,3819,2015年
农行开发小区！三楼 64平两室 精装短住带家电 一中价格可议,24.8,2室1厅,64,3875,2005年
电厂小区  一楼一楼 精装一楼 老人住太好，出门早市 中间户,21,2室1厅,57,3685,2005年
电工会1层57平2室1厅可扒门26中商贸城附近,20,2室1厅,57,3509,2000年
碧桂园海州府 电梯四层 90平 两室通厅 精装带物拎包入住。,55,2室2厅,90,6112,2017年
大唐荣城电梯洋房8层111平两室两厅精装红本现房65.8万议,65.8,2室2厅,111,5928,2015年
东城天下！新出好房！三室格局！个人婚装！太新了！抓紧看房！,40,3室2厅,114,3509,2016年
四楼！电梯25万无遮挡！居园小区南！适合父母孩子！一梯四户！,25,2室1厅,75,3334,2013年
祥宇一品步梯三层 毛坯价格 正规商品房 民族街一中  包包,43,2室2厅,94,4575,2012年
价低抢！五洲御景园104平南  通厅位置特好拎包就能住！！,26,2室2厅,104,2500,2016年
祥宇上品一个不用拿精装带物不边不顶不道 价钱可议 支持贷款,52,2室2厅,102,5099,2015年
宏运铂郡(八一路) 带院加下跃 可单独入户 可拎包入住,70,2室2厅,89,7866,2014年
辽工大北  96平两室南北通透精装未住采光好环境好步梯六层,37.5,2室2厅,96,3907,2010年
西山花园精装修南北110平三室两厅一卫仅售22.6万,23.8,3室2厅,110,2164,2000年
东城天下！精装电梯 三室二厅二卫 产权清晰 无遮挡 南北通透,50.5,3室2厅,143,3532,2015年
龙泽雅苑电梯小高层111平精装未住带物55.8万可议房本满二,55.8,2室2厅,110.23,5063,2016年
主打性价比！殊景天成！通厅格局精装修带物拎包入住！不边不道！,40,2室2厅,96,4167,2015年
  城二期 电梯7楼89平 南北通厅 婚装短住带物49.8议,49.8,2室2厅,89,5596,2019年
昊海花园 135加7平 三室两卫 超大客厅 随意装修 取暖好,26.5,3室2厅,135,1963,2010年
盛邦茗雅园 一楼带下越带院有两个车库打通装修好了价钱可议,98,2室3厅,154,6364,2012年
市  对面花园小区 5层 93平三室一厅装修地热带物下楼  ,25,3室1厅,93,2689,1998年
枫丹丽都 17跃18 毛坯 96平可贷款自己想怎么装就怎么装,45,3室2厅,96,4688,2016年
紧邻商贸城  市中心 八一小区  三室精装 才20多万,27.8,3室2厅,83,3350,2010年
电梯洋房 南北等宽大通厅 视野采光嘎嘎好 价格可议 快看房吧,76.8,3室2厅,124,6194,2020年
园中小区  一楼带300平院 精装未住 院里有果树 随时看房,30,2室2厅,90,3334,2006年
先拿一个入住 小高15层 87平 婚装 拎包入住 29万小议,29,2室1厅,87,3334,2013年
祥宇上品森博园 6越7  120平  4室3厅两卫 精装带物,70,4室3厅,124,5646,2012年
怡静园小区！一中附近！三校旁步梯二楼！个人 精装可拎包入住！,27.8,2室1厅,65,4277,2008年
凯旋帝景 电梯6层 三室二厅 南北通厅 精装 可随时看房,59.8,3室2厅,136,4398,2014年
正阳馨居电梯15层不顶三室两厅格局,49.8,3室2厅,111,4487,2014年
毛坯价！！ 小高4层 南北屋西明厅 94平 30万小议,30,2室2厅,94,3192,2012年
买婚房的来凯旋帝景婚房两室电梯洋房精装修带物可贷款随时看急售,35.8,2室2厅,94,3809,2016年
奥林匹克花园 电梯14层 119平 两室 精装带物拎包入住。,46,2室2厅,119,3866,2012年
电梯小高！带车库有房本！79.6 ！顺吉德尔！两室等宽精装修,64,2室2厅,94,6809,2022年
 价！西华园小区 4楼 95平  精装未住 30.8万可议,30.8,2室2厅,95,3243,2006年
细河区祥宇一品南北通透一楼带下越三室两卫紧邻玉龙出行方便,68.5,3室2厅,155,4420,2012年
盛世公馆120平三室两卫30.8万带物急售宜居外地,30.8,3室2厅,120,2567,2012年
八一路雅馨园三楼视野采光太狠了,43.5,2室2厅,92,4729,2010年
带衣帽间 绿地剑桥 凤凰层 个人精装 商品住宅 电梯房,60,2室2厅,107,5608,2016年
北方花园新区，133平，4层，不边不道，三室，带物，可贷款,35.8,3室2厅,133,2692,2012年
